Impactor,Impactee,value
Price_MAZDA_CX-5_2.5_GRAND_TOURING_4WD_AUTO,WOI_Subaru_Overall,0.228537781
Price_TOYOTA_KLUGER_3.5_GRANDE_7_SEAT_AUTO,WOI_Subaru_Overall,0.227649759
Retail_National_Total,WOI_Subaru_Overall,0.227082536
Forester_(GL_10535001)_Sydney_Sydney_Television_ONESYD,WOI_Subaru_Overall,0.223759246
Retail_Adelaide_Southern_Region_Television_7Mate_ADE,WOI_Subaru_Overall,0.223561368
Eyesight_GL_10535005_6_National_National_Newspaper_Aust_Financial_Review,WOI_Subaru_Overall,0.22277761
Retail_Victoria_Aggregated_Southern_Region_Television_SBS_Victoria_Aggregated,WOI_Subaru_Overall,0.222405474
Forester_(GL_10535001)_Sthn_NSW_Southern_Region_Television_SBS2_Sthn_NSW,WOI_Subaru_Overall,0.222258798
Retail_National_National_Subscription_TV_111_Hits,WOI_Subaru_Overall,0.221155858
Forester_(GL_10535001)_National_National_Subscription_TV_Lifestyle_Home,WOI_Subaru_Overall,0.22089033
Forester_(GL_10535001)_Adelaide_Southern_Region_Television_Eleven_ADE,WOI_Subaru_Overall,0.219882034
Liberty_(GL_10535005)_Sthn_NSW_Eastern_Region_Television_GO!_Southern_NSW,WOI_Subaru_Overall,0.218323362
Forester_(GL_10535001)_Sydney_Sydney_Television_GO_SYD,WOI_Subaru_Overall,0.21815102
Subaru_Forester_SUV_XS_Premium_AWD_2_5L_5Dr_Petrol_A4_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.217896528
Eyesight_GL_10535005_6_National_National_Subscription_TV_National_Geographic_Adventure,WOI_Subaru_Overall,0.217841012
Brand_Awareness_Subaru_Vic,WOI_Subaru_Overall,0.216773904
Forester_(GL_10535001)_National_National_Subscription_TV_Lifestyle_Channel,WOI_Subaru_Overall,0.216173522
XV_(GL_10535004)_National_National_Newspaper_Sunday_Life,WOI_Subaru_Overall,0.215295062
Forester_(GL_10535001)_Victoria_Aggregated_Southern_Region_Television_GO!_Victoria_Aggregated,WOI_Subaru_Overall,0.21510024
Forester_(GL_10535001)_Adelaide_Southern_Region_Television_7Mate_ADE,WOI_Subaru_Overall,0.213281512
Price_FORD_FOCUS_2.0_TDCI_TITANIUM_POWERSHIFT,WOI_Subaru_Overall,0.21310355
Price_FORD_FOCUS_2.0_GDI_TITANIUM_POWERSHIFT,WOI_Subaru_Overall,0.21310355
Eyesight_GL_10535005_6_Sthn_NSW_Eastern_Region_Television_WIN_TV_Southern_NSW_(9),WOI_Subaru_Overall,0.212404586
Subaru_Forester_SUV_S_Edition_AWD_2_5L_5Dr_Petrol_A5_Driveaway_Pricing_RRP,WOI_Subaru_Overall,0.211412998
Crick's_Tweed_Subaru_2294_B2_Brisbane_Overall_NPS,WOI_Subaru_Overall,0.210567114
XV_(GL_10535004)_National_National_Subscription_TV_FOX_SPORTS_News,WOI_Subaru_Overall,0.209231122
Price_MITSUBISHI_ASX_2.0_CVT,WOI_Subaru_Overall,0.209198827
Eyesight_GL_10535005_6_National_National_Subscription_TV_FOX_SPORTS_News,WOI_Subaru_Overall,0.209152228
Eyesight_GL_10535005_6_National_National_Subscription_TV_Bio.,WOI_Subaru_Overall,0.208812688
XV_(GL_10535004)_National_National_Subscription_TV_SF,WOI_Subaru_Overall,0.208769596
Eyesight_GL_10535005_6_Adelaide_Southern_Region_Television_SAS7,WOI_Subaru_Overall,0.208493848
Eyesight_GL_10535005_6_National_National_Subscription_TV_FOX_SPORTS_3,WOI_Subaru_Overall,0.20815834
Subaru_Forester_SUV_2_5i_S_AWD_2_5L_5Dr_Petrol_C_Demonstrator_No_of_Offers_Make_Model_Grade,WOI_Subaru_Overall,0.206830958
Forester_(GL_10535001)_Sthn_NSW_Southern_Region_Television_GO!_Southern_NSW,WOI_Subaru_Overall,0.206482676
Eyesight_GL_10535005_6_National_National_Subscription_TV_UKTV,WOI_Subaru_Overall,0.206215702
Retail_National_National_Subscription_TV_13th_Street,WOI_Subaru_Overall,0.206154516
Retail_Sydney_Sydney_Television_TCN9,WOI_Subaru_Overall,0.206034892
