uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,
Subaru_Impreza_R-Retail_Brisbane_Television_Eleven_BRIS_Metropolitan_Television,,RRetail Brisbane Television Eleven BRIS,RRetail Brisbane Television Eleven BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Brisbane_Television_BTQ7_Metropolitan_Television,,Retail Brisbane Television BTQ7,Retail Brisbane Television BTQ7,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
Subaru_Impreza_Hatch_Brisbane_Radio_NOVA_106.9_Metropolitan_Radio,,Hatch Brisbane Radio NOVA 106.9,Hatch Brisbane Radio NOVA 106.9,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Radio,0.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Brisbane_Radio_97.3_Metropolitan_Radio,,Brisbane Radio 97.3,Brisbane Radio 97.3,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Subaru_Impreza_Brisbane_Television_7TWO_BRIS_Metropolitan_Television,,Brisbane Television 7TWO BRIS,Brisbane Television 7TWO BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,Retail Brisbane Television 7Mate BRIS,Retail Brisbane Television 7Mate BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_2.0i-Retail_Brisbane_Television_7TWO_BRIS_Metropolitan_Television,,2.0iRetail Brisbane Television 7TWO BRIS,2.0iRetail Brisbane Television 7TWO BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WOI_Impreza_Melbourne,,Impreza WOI Sydney,Impreza WOI Sydney,Client Data:Subaru Sales:Impreza:Melbourne,0.5,5,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,4,5,4
Subaru_Impreza-Retail_Melbourne_Television_SBSMEL_Metropolitan_Television,,Retail Melbourne Television SBSMEL,Retail Melbourne Television SBSMEL,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_XV_Mizuno_LE-Retail_Melbourne_Press_Herald_Sun_Metropolitan_Press,,XV Mizuno LERetail Melbourne Press Herald Sun,XV Mizuno LERetail Melbourne Press Herald Sun,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Melbourne:Press,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Melbourne_Radio_SmoothFM_91.5_Metropolitan_Radio,,Retail Melbourne Radio SmoothFM 91.5,Retail Melbourne Radio SmoothFM 91.5,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Melbourne:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Subaru_Impreza_R-Retail_Melbourne_Television_HSV7_Metropolitan_Television,,RRetail Melbourne Television HSV7,RRetail Melbourne Television HSV7,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Melbourne_Television_ATV10_Metropolitan_Television,,Retail Melbourne Television ATV10,Retail Melbourne Television ATV10,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Subaru_Impreza-Retail_Melbourne_Television_GO_MELB_Metropolitan_Television,,Retail Melbourne Television GO MELB,Retail Melbourne Television GO MELB,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Subaru_Impreza_R-Retail_Melbourne_Television_Eleven_MEL_Metropolitan_Television,,RRetail Melbourne Television Eleven MEL,RRetail Melbourne Television Eleven MEL,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Melbourne:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
