uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Action_Subaru_2289_C2_Northern_Overall_NPS,,Action Subaru_2289,Action Subaru_2289,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,75,83.4,66.7,75.9,66.7,66.7,8.4,16.7,83.4,83.4,0,16.7,50.1,83.4,50,83.4,50.1,50.1,50.1
Action_Subaru_2289_C1_Northern_Overall_NPS,,Action Subaru_2289,Action Subaru_2289,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37.5
Cambur_Subaru_18_A_Southern_Overall_NPS,,Cambur Subaru_18,Cambur Subaru_18,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,63.5,46.1,42.5,51.8,70,66.7,54.8,53.9,76.8,76.7,85,72.5,48.2,78.4,62.2,60,57.5,71.7,70
Innes_Motors_74_B1_Southern_Overall_NPS,,Innes Motors_74,Innes Motors_74,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7,90
Eastern_Subaru_85_A_Southern_Overall_NPS,,Eastern Subaru_85,Eastern Subaru_85,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,92.5
Traralgon_Subaru_35_B2_Southern_Overall_NPS,,Traralgon Subaru_35,Traralgon Subaru_35,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,54.2,75,83.4,91.7,79.3,60.7,31.1,61,50,79.2,95,57.5,85,85,80,55,68.8,70.7,95,78.4
Ballarat_Subaru_121_B1_Southern_Overall_NPS,,Ballarat Subaru_121,Ballarat Subaru_121,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,70
Warragul_Subaru_20_C2_Southern_Overall_NPS,,Warragul Subaru_20,Warragul Subaru_20,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,16.7,33.4,33.4,36.7,50,16.7,50,16.7,33.4,33.4,50,33.4,33.4,33.4,100,100,100,66.7,100
Ken_Muston_Automotive_77_B1_Southern_Overall_NPS,,Ken Muston Automotive_77,Ken Muston Automotive_77,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6,60
Eastern_Subaru_85_B1_Southern_Overall_NPS,,Eastern Subaru_85,Eastern Subaru_85,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,50,90,90,65,71.8,75,95,80,90,0,80,80,80,70,72.9,80,85,70,,
Echuca_Subaru_106_C1_Southern_Overall_NPS,,Echuca Subaru_106,Echuca Subaru_106,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,75,25,75,100,87.5,50,100,87.5,70.9,75,37.5
The_Big_Garage_107_C1_Southern_Overall_NPS,,The Big Garage_107,The Big Garage_107,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,87.5,37.5,30,81.9,87.5,75,37.5,100,75,75,87.5,87.5,70.9,87.5,100,87.5,50,50,45.9
Baker_Subaru_94_B2_Southern_Overall_NPS,,Baker Subaru_94,Baker Subaru_94,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,69.1,27.2,64.3,78.6,62.6,78.6,78.6,57.2,61.4,58.6,78.6,53.6,100,41.7,69.1,42.9,35.7,75.7,53.6,67.9
Cambur_Subaru_0018a_A_Southern_Overall_NPS,,Cambur Subaru_0018a,Cambur Subaru_0018a,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,32.5,65,45,51,70,60,70,60,45,55,55,80,80,75,75,70,65,70,50
Ken_Muston_Automotive_77_B2_Southern_Overall_NPS,,Ken Muston Automotive_77,Ken Muston Automotive_77,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,64.3,71.4,66.1,57.1,70.1,71.5,85.7,80,84.5,75.7,75.7,78.6,100,71.4,78.6,85.7,78.6,71.4,,
Warrnambool_Subaru_103_B2_Southern_Overall_NPS,,Warrnambool Subaru_103,Warrnambool Subaru_103,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,53.6,71.5,78.6,85.7,54.8,58.9,61.4,78.6,50,91.7,42.9
Wangaratta_Subaru_102_C1_Southern_Overall_NPS,,Wangaratta Subaru_102,Wangaratta Subaru_102,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,87.5,100,50,75,-37.5,62.5,75,62.5,75,87.5,70.9
Innes_Motors_74_B2_Southern_Overall_NPS,,Innes Motors_74,Innes Motors_74,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,92.9,85.7,78.6,57.2,76.8,64.3,78.6,92.9,85.7,78.6,71.5,100,78.6,85.7,92.9,78.6,85.7,78.6,78.6,78.6
Ballarat_Subaru_121_B2_Southern_Overall_NPS,,Ballarat Subaru_121,Ballarat Subaru_121,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,77.9,85,75.4,72.9,78.4,87.9,90.4,59,52.5,80,65,80,82.5,77.5,72.5,72.9,89.5,75,75,75
Subaru_Geelong_90_A_Southern_Overall_NPS,,Subaru Geelong_90,Subaru Geelong_90,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,72.5,72.5,75,74.4,87.5,90,67.5,90,75.8,80,85,74.2,85,76.7,67.5,79.2,79.2,79.2,79.2
Frankston_Subaru_110_A_Southern_Overall_NPS,,Frankston Subaru_110,Frankston Subaru_110,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper_Automobiles_47_C2_Southern_Overall_NPS,,Cooper Automobiles_47,Cooper Automobiles_47,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,100,100,50,96.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Traralgon_Subaru_38_B2_Southern_Overall_NPS,,Traralgon Subaru_38,Traralgon Subaru_38,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankston_Subaru_0110a_A_Southern_Overall_NPS,,Frankston Subaru_0110a,Frankston Subaru_0110a,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auto_Synergy_105_C1_Southern_Overall_NPS,,Auto Synergy_105,Auto Synergy_105,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,100,75,87.5,83,87.5,70.9,62.5,87.5,37.5,100,25,87.5,100,75,75,87.5,25,100,87.5
Cooper_Subaru_Hamilton_108_C2_Southern_Overall_NPS,,Cooper Subaru Hamilton_108,Cooper Subaru Hamilton_108,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,50,0,0,0
Progressive_Motors_71_C2_Southern_Overall_NPS,,Progressive Motors_71,Progressive Motors_71,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,100,83.4,50,86.2,83.4,100,100,50,100,50,50,100,50,100,100,50,50,50,50
South_Coast_Subaru_1182_C1_Eastern_Overall_NPS,,South Coast Subaru_1182,South Coast Subaru_1182,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,16.7,33.4,66.7,83.4,83.4,83.4,70.9,87.5,87.5,75,83.4,41.7,41.7,83.4,91.7,75
Moss_Vale_Subaru_1195_B2_Eastern_Overall_NPS,,Moss Vale Subaru_1195,Moss Vale Subaru_1195,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.9,57.1,85.7,78.6
Port_Macquarie_Subaru_1618_B2_Eastern_Overall_NPS,,Port Macquarie Subaru_1618,Port Macquarie Subaru_1618,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,80,65,90,67.5,76.2,77.9,65,87.9,65,65.7,72.9,75,80,70,67.9,90,92.9,95,95,95
Rolfe_Subaru_Service_Belconnen_1139a_A_Eastern_Overall_NPS,,Rolfe Subaru Service Belconnen_1139a,Rolfe Subaru Service Belconnen_1139a,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,0,0,0,0,60,50,65,50,80,45,75,60,65,80,75
Taree_Subaru_1120_C1_Eastern_Overall_NPS,,Taree Subaru_1120,Taree Subaru_1120,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,87.5,75,37.5,80,75,50,25,87.5,87.5,66.7,83.4,50,37.5,100,87.5,87.5,75,100,62.5
Hunter_Subaru_1258_B1_Eastern_Overall_NPS,,Hunter Subaru_1258,Hunter Subaru_1258,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,80,75,81.7,80,69.6,80,65,70,72.5,65,66.4,75,73.8,52.5,83.9,80,48.8,48.8,48.8,48.8
Crossroads_Subaru_1252_B1_Eastern_Overall_NPS,,Crossroads Subaru_1252,Crossroads Subaru_1252,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,80,85,75,65,73.7,75,85,70,60,50,75,85,55,65,70,70,75,65,65,65
Port_Macquarie_Subaru_1618_B1_Eastern_Overall_NPS,,Port Macquarie Subaru_1618,Port Macquarie Subaru_1618,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,85
